Region,subsite,reefarea,01/02 kg/m2,16/17 kg/m2,2021 kg/m2,2070
Eddystone,1,19.24,0.0228,0.0274,0.0451,0.5
,2,,,,,
,3,,,,,
St Helens,1,9.42,0.245,0.2163,0.2112,0.5
,2,,,,,
,3,,,,,
Four Mile,1,8.05,0.0059,0.0124,0.0227,0.5
,2,,,,,
,3,,,,,
Bicheno,1,27.29,0.0087,0.0226,0.0207,0.5
,2,,,,,
,3,,,,,
Wineglass,1,9.85,0.0298,0.0952,0.1039,0.5
,2,,,,,
,3,,,,,
Schouten Is.,1,4.13,0.0897,0.1162,0.0724,0.5
,2,,,,,
,3,,,,,
Maria Is.,1,9.03,0.0384,0.0736,0.1065,0.5
,2,,,,,
,3,,,,,
Forestier,1,8.56,0.0012,0.0122,0.0061,0.5
,2,,,,,
,3,,,,,
Fortescue,1,6.42,0.0147,0.0604,0.077,0.5
,2,,,,,
,3,,,,,
